stage,csi_code,csi_code_description
Presentation/Proposal/RFQ,01-02-810,IRRIGATION SYSTEM
Presentation/Proposal/RFQ,01-02-815,FOUNTAINS
Presentation/Proposal/RFQ,01-02-820,FENCES & GATES
Presentation/Proposal/RFQ,01-02-821,CHAIN LINK FENCES & GATES
Presentation/Proposal/RFQ,01-02-822,ORNAMENTAL METAL FENCES & GATE
Presentation/Proposal/RFQ,01-02-824,ALUM FENCES & GATES
Presentation/Proposal/RFQ,01-02-825,WOOD FENCES & GATES
Presentation/Proposal/RFQ,01-02-830,RETAINING WALLS
Presentation/Proposal/RFQ,01-02-831,CAST-IN-PLACE CONCRETE RET WAL
Presentation/Proposal/RFQ,01-02-832,INTERLOCKING BLOCK RET WALLS
Presentation/Proposal/RFQ,01-02-833,MASONRY RETAINING WALLS
Presentation/Proposal/RFQ,01-02-834,PRECAST CONCRETE RETAINING WAL
Presentation/Proposal/RFQ,01-02-835,TIMBER RETAINING WALLS
Presentation/Proposal/RFQ,01-02-840,WALK ROAD & PARKING APPURTENAN
Presentation/Proposal/RFQ,01-02-841,BOLLARDS
Presentation/Proposal/RFQ,01-02-850,PREFABRICATED BRIDGES
Presentation/Proposal/RFQ,01-02-860,SCREENING DEVICES
Presentation/Proposal/RFQ,01-02-870,SITE FURNISHINGS
Presentation/Proposal/RFQ,01-02-880,PLAY FIELD EQUIP & STRUCTURES
Presentation/Proposal/RFQ,01-02-890,TRAFFIC SIGNS & SIGNALS
Presentation/Proposal/RFQ,01-02-895,MARKERS & MONUMENTS
Presentation/Proposal/RFQ,01-02-900,PLANTING
Presentation/Proposal/RFQ,01-02-905,TRANSPLANTING
Presentation/Proposal/RFQ,01-02-910,PLANT PREPARATION
Presentation/Proposal/RFQ,01-02-920,LAWNS & GRASSES
Presentation/Proposal/RFQ,01-02-930,EXTERIOR PLANTS
Presentation/Proposal/RFQ,01-02-935,PLANT MAINTENANCE
Presentation/Proposal/RFQ,01-02-945,PLANTING ACCESSORIES
Presentation/Proposal/RFQ,01-02-950,SITE RESTORATION & ACCESSORIES
Presentation/Proposal/RFQ,01-02-990,STRUCTURE MOVING
Presentation/Proposal/RFQ,01-03-000,CONCRETE
Presentation/Proposal/RFQ,01-03-010,CONCRETE WORK
Presentation/Proposal/RFQ,01-03-021,PILE CAPS/GRADE BEAMS FORMWK
Presentation/Proposal/RFQ,01-03-022,PILE CAPS/GRADE BEAMS REBAR
Presentation/Proposal/RFQ,01-03-023,PILE CAPS/G BEAMS CONCRETE
Presentation/Proposal/RFQ,01-03-031,SLAB ON GRADE/FORMWORK
Presentation/Proposal/RFQ,01-03-032,SLAB ON GRADE/REBAR
Presentation/Proposal/RFQ,01-03-033,SLAB ON GRADE CONCRETE
Presentation/Proposal/RFQ,01-03-041,COLUMNS/WALLS/FORMWORK
Presentation/Proposal/RFQ,01-03-042,COLUMNS/WALL REBAR
Presentation/Proposal/RFQ,01-03-043,COLUMNS/WALLS CONCRETE
Presentation/Proposal/RFQ,01-03-051,BEAM/FORMWORK
Presentation/Proposal/RFQ,01-03-052,BEAM REBAR
Presentation/Proposal/RFQ,01-03-053,BEAM CONCRETE
Presentation/Proposal/RFQ,01-03-061,ELEVATED/PT SLAB
Presentation/Proposal/RFQ,01-03-062,ELEVATED/PT SLAB REBAR
Presentation/Proposal/RFQ,01-03-063,ELEVATED/PT SLAB POST TENSION
Presentation/Proposal/RFQ,01-03-064,ELEVATED/PT SLAB CONCRETE
Presentation/Proposal/RFQ,01-03-100,CONCRETE FORMS & ACCESSORIES
Presentation/Proposal/RFQ,01-03-101,LAYOUT
Presentation/Proposal/RFQ,01-03-103,SLAB GRADING & COMPACTING
Presentation/Proposal/RFQ,01-03-104,EXTERIOR SLAB GRADE & COMPACT
Presentation/Proposal/RFQ,01-03-105,x
Presentation/Proposal/RFQ,01-03-106,SLAB FORMWORK
Presentation/Proposal/RFQ,01-03-107,EXTERIOR SLAB FORM WORK
Presentation/Proposal/RFQ,01-03-108,METAL KEY CONTROL JOINT
Presentation/Proposal/RFQ,01-03-109,FIBER EXPANSION JOINT
Presentation/Proposal/RFQ,01-03-110,STRUC CAST-IN-PLACE CONCRETE F
Presentation/Proposal/RFQ,01-03-111,SOIL POISONING
Presentation/Proposal/RFQ,01-03-112,MACHINE EXCAVATION
Presentation/Proposal/RFQ,01-03-113,HAND FOOTING EXCAVATION
Presentation/Proposal/RFQ,01-03-114,CONSTRUCTION JOINT
Presentation/Proposal/RFQ,01-03-116,CONTINUOUS FOOTING
Presentation/Proposal/RFQ,01-03-118,PAD FOOTINGS
Presentation/Proposal/RFQ,01-03-120,ARCH CAST-IN-PLACE CONCRETE FO
Presentation/Proposal/RFQ,01-03-122,FORM & POUR CONC COLUMNS & BEA
Presentation/Proposal/RFQ,01-03-124,PATCH CONCRETE BEAMS
Presentation/Proposal/RFQ,01-03-130,PERMANENT FORMS
Presentation/Proposal/RFQ,01-03-131,PLANTER & FOUNDATIONS
Presentation/Proposal/RFQ,01-03-140,FREE STANDING COLUMNS
Presentation/Proposal/RFQ,01-03-150,CONCRETE ACCESSORIES
Presentation/Proposal/RFQ,01-03-155,WALL
Presentation/Proposal/RFQ,01-03-156,SHORING
Presentation/Proposal/RFQ,01-03-158,ELEVATOR PIT
Presentation/Proposal/RFQ,01-03-160,CONCRETE STAIR FORMWORK
Presentation/Proposal/RFQ,01-03-162,INTERIOR STEPS ON GRADE
Presentation/Proposal/RFQ,01-03-164,EXTERIOR STEPS ON GRADE
Presentation/Proposal/RFQ,01-03-170,LOAD BEARING MASONRY FORMWORK
Presentation/Proposal/RFQ,01-03-180,ELEVATED FLAT SLAB
Presentation/Proposal/RFQ,01-03-190,CONCRETE INSERTS
Presentation/Proposal/RFQ,01-03-200,CONCRETE REINFORCEMENT
Presentation/Proposal/RFQ,01-03-210,REINFORCING STEEL
Presentation/Proposal/RFQ,01-03-220,WELDED WIRE FABRIC
Presentation/Proposal/RFQ,01-03-230,STRESSING TENDONS
Presentation/Proposal/RFQ,01-03-235,ACCESSORIES
Presentation/Proposal/RFQ,01-03-240,FIBROUS REINFORCING
Presentation/Proposal/RFQ,01-03-250,POST-TENSIONING
Presentation/Proposal/RFQ,01-03-300,CAST-IN-PLACE CONCRETE
Presentation/Proposal/RFQ,01-03-302,CONCRETE READY MIX
Presentation/Proposal/RFQ,01-03-310,STRUCTURAL CONCRETE
Presentation/Proposal/RFQ,01-03-312,CONCRETE FINISHING
Presentation/Proposal/RFQ,01-03-313,PLACING CONCRETE
Presentation/Proposal/RFQ,01-03-314,PUMPING CONCRETE
Presentation/Proposal/RFQ,01-03-320,LIGHT WEIGHT CONCRETE
Presentation/Proposal/RFQ,01-03-330,ARCHITECTURAL CONCRETE
Presentation/Proposal/RFQ,01-03-340,LOW DENSITY CONCRETE
Presentation/Proposal/RFQ,01-03-360,SPECIALITY CONCRETE FINISHES
Presentation/Proposal/RFQ,01-03-370,SPECIALLY PLACED CONCRETE
Presentation/Proposal/RFQ,01-03-380,POST-TENSIONED CONCRETE
Presentation/Proposal/RFQ,01-03-390,CONCRETE CURING
Presentation/Proposal/RFQ,01-03-400,PRECAST CONCRETE
Presentation/Proposal/RFQ,01-03-410,PLANT-PRECAST STRUCTURAL CONCR
Presentation/Proposal/RFQ,01-03-420,PLANT-PRECAST STRUC POST-TENSI
Presentation/Proposal/RFQ,01-03-430,SITE-PRECAST STRUCTURAL CONCRE
Presentation/Proposal/RFQ,01-03-432,TWIN TEE'S & PRECAST WALLS
Presentation/Proposal/RFQ,01-03-434,SHORING OF TWIN TEES
Presentation/Proposal/RFQ,01-03-440,LIFT SLAB
Presentation/Proposal/RFQ,01-03-450,PLANT-PRECAST ARCHITECTURAL CO
Presentation/Proposal/RFQ,01-03-451,SAW CUT
Presentation/Proposal/RFQ,01-03-460,SITE-PRECAST ARCHITECTURAL CON
Presentation/Proposal/RFQ,01-03-470,TILT-UP PRECAST CONCRETE
Presentation/Proposal/RFQ,01-03-480,PRECAST CONCRETE SPECIALTIES
Presentation/Proposal/RFQ,01-03-490,GLASS-FIBER-REINFORCED PRECAST
Presentation/Proposal/RFQ,01-03-500,CEMENTITIOUS DECKS & UNDERLAYM
Presentation/Proposal/RFQ,01-03-510,CEMENTITIOUS ROOF DECK
Presentation/Proposal/RFQ,01-03-520,LIGHTWEIGHT CONC ROOF INSULATI
Presentation/Proposal/RFQ,01-03-530,CONCRETE TOPPING
Presentation/Proposal/RFQ,01-03-540,CEMENTITIOUS UNDERLAYMENT
Presentation/Proposal/RFQ,01-03-600,GROUTS
Presentation/Proposal/RFQ,01-03-610,GROUTING
Presentation/Proposal/RFQ,01-03-700,MASS CONCRETE
Presentation/Proposal/RFQ,01-03-900,CONCRETE RESTORATION & CLEANIN
Presentation/Proposal/RFQ,01-03-910,CONCRETE CLEANING
Presentation/Proposal/RFQ,01-03-920,CONCRETE RESURFACING
Presentation/Proposal/RFQ,01-03-930,CONCRETE REHABILITATION
Presentation/Proposal/RFQ,01-04-000,MASONRY
Presentation/Proposal/RFQ,01-04-200,UNIT MASONRY
Presentation/Proposal/RFQ,01-04-210,CLAY MASONRY UNITS
Presentation/Proposal/RFQ,01-04-212,BRICK PAVERS
Presentation/Proposal/RFQ,01-04-220,CONCRETE MASONRY UNITS
Presentation/Proposal/RFQ,01-04-222,INTERIOR BLOCK PARTITIONS
Presentation/Proposal/RFQ,01-04-230,CALCIUM SILICATE MASONRY UNITS
Presentation/Proposal/RFQ,01-04-270,GLASS MASONRY UNITS
Presentation/Proposal/RFQ,01-04-290,ADOBE MASONRY UNITS
Presentation/Proposal/RFQ,01-04-400,STONE
Presentation/Proposal/RFQ,01-04-410,STONE MATERIALS
Presentation/Proposal/RFQ,01-04-420,COLLECTED STONE
Presentation/Proposal/RFQ,01-04-430,QUARRIED STONE
Presentation/Proposal/RFQ,01-04-500,REFRACTORIES
Presentation/Proposal/RFQ,01-04-502,PRECAST MOLDINGS
Presentation/Proposal/RFQ,01-04-552,PRECAST COLUMNS
Presentation/Proposal/RFQ,01-04-600,CORROSION-RESISTANT MASONRY
Presentation/Proposal/RFQ,01-04-610,CHEMICAL-RESISTANT BRICK
Presentation/Proposal/RFQ,01-04-620,VITRIFIED CLAY LINER PLATES
Presentation/Proposal/RFQ,01-04-700,SIMULATED MASONRY
